"Survey Date and Time","Surveyer id","General Data-Tehsil","General Data-District","General Data-Establishment Address","General Data-Udyog Registered","General Data-If yes Number","General Data-Class","General Data-Sector","General Data-If Any Other Sector Please specify","General Data-Year of Establishment","Details of the Business-Name of Business","Details of the Business-Type of Unit","Details of the Business-Nature of Operation","Details of the Business-Nature Of Job","Details of the Business-Nature Of Employment","Employee Size-2016-17","Employee Size-2017-18","Employee Size-2018-19","Employee Size-2019-20","Employee Size-2020-21","Details of the Finances and Expenses-(Monthly  Cost)-2016-17","Details of the Finances and Expenses-(Monthly  Cost)-2017-18","Details of the Finances and Expenses-(Monthly  Cost)-2018-19","Details of the Finances and Expenses-(Monthly  Cost)-2019-20","Details of the Finances and Expenses-(Monthly  Cost)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Scheme Name under which it was availed)-Scheme","Photos-Person interviewed","Photos-Signboard of Company","Photos-Picture of business operation"
"2021-08-14 10:31:50",19,"Pandey Pur",Chandauli,"Aligarh Chandauli",No,,"[""Manufacturing""]","Repairing & Services",,2021,"repairing service",Micro,Perennial,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:53:08",19,mewali,Mirzapur,"semra, Bela u ha me wali, mirzapur",No,,"[""Services""]","Repairing & Services",,2019,sho,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:24:53",19,"shahjahanpur ",Allahabad,"shahjahanur uttar pradesh",No,,"[""Manufacturing""]","Food products",,2021,"food shop",Micro,Perennial,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,"Coir Upgradation",,,
"2021-08-14 06:55:25",19,itaunja,Lucknow,"town area itaubav wade no. 4",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:09:24",19,"khailar ",Jhansi,"Kailash Jhansi",No,,"[""Manufacturing""]","Repairing & Services",,2020,"repairing service",Micro,Perennial,Unskilled,Permanent,,,,,2,,,,,2,,,,,1200000,,,,,"Bank of Baroda","Coir Upgradation",,,
"2021-08-14 06:58:06",19,shamli,"Shamali (Prabuddh Nagar)","shamli, malhendi up",No,,"[""Services""]","Food products",,2020,food,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:27:04",19,"jigna ",Mirzapur,"Mirzapur Uttar Pradesh",No,,"[""Manufacturing""]","Repairing & Services",,2020,"food shop ",Micro,Perennial,Unskilled,Permanent,,,,,2,,,,,2,,,,,1500000,,,,,"Bandhan Bank","CLCS & TU",,,
"2021-08-14 07:00:38",19,machhlisaher,Jaunpur,"h no. 13 vill til aura the machhlipur",No,,"[""Services""]","Repairing & Services",,2018,shop,Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,100000,15000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:35:36",19,"Panchsheel Nagar","Hapur (Panchsheel Nagar)","gopura kothi gate hap ur 245101",No,,"[""Manufacturing""]","Wool Silk and Synthetic Fibre Textile",,2018,"wood silk",Micro,Perennial,Semi-Skilled,Contractual,,,3,3,3,,,100000,100000,100000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:36:54",19,Bilari,Bhadohi,"Bilari Muradabad Uttar Pradesh",No,,"[""Manufacturing""]","Food products",,2020,"food product",Micro,Perennial,Unskilled,Permanent,,,,,2,,,,,2,,,,,2,,,,,"Bandhan Bank","Lean Manufacturing",,,
"2021-08-14 03:39:40",19,"sherkot ",Allahabad,"shekhan sherkot sherkot distt bijnor uttar p",No,,"[""Manufacturing""]","Food products",,2021,"food product",Micro,Perennial,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,CGTMSE,,,
"2021-08-14 05:17:27",19,aligarh,Aligarh,"Aligarh Uttar Pradesh",No,,"[""Manufacturing""]","Wood products",,2021,"wood product",Micro,Perennial,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,CGTMSE,,,
"2021-08-14 03:41:53",19,"maukhera ",Allahabad,"maukhera bulandshahar uttar p",No,,"[""Manufacturing""]","Repairing & Services",,2020,"repairing service",Micro,Perennial,Semi-Skilled,Contractual,,,,,2,,,,,2,,,,,,,,,,,CGTMSE,,,
"2021-08-14 04:38:33",19,"Arya Nagar",Faizabad,"Firozabad Uttar Pradesh",No,,"[""Manufacturing""]","Repairing & Services",,2021,"repairing service",Micro,Perennial,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,CGTMSE,,,
"2021-08-14 03:45:27",19,chandausi,Allahabad,"para sambhal uttar p",No,,"[""Manufacturing""]","Food products",,2020,"food shop",Small,Seasonal,Unskilled,Contractual,,,,,3,,,,,3,,,,,800000,,,,,"Bank of Baroda","Coir Upgradation",,,
"2021-08-14 03:51:24",19,"tailor ",Aligarh,"bush bazarprahshat Bihar shop fanicy tailor Loni ghazi",No,,"[""Manufacturing""]","Food products",,2021,"food shop",Micro,Casual,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,"Coir Upgradation",,,
"2021-08-14 10:47:45",19,Meerut,Meerut,"valley bazaar meerut city 25ooo2",No,,"[""Manufacturing""]","Food products",,2020,"food product",Micro,Perennial,Unskilled,Contractual,,,,,4,,,,,15000,,,,,200000,,,,,"Bank of Baroda","Lean Manufacturing",,,
"2021-08-14 06:05:47",19,"naghoha ",Lucknow," bill harivansh Kheda",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,1,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:55:36",19,Konch,Aligarh,"lalaun konch uttar p",No,,"[""Manufacturing""]","Food products",,2015,"food shop",Micro,Perennial,Unskilled,Permanent,3,3,3,3,3,100000,100000,100000,100000,100000,1200000,1200000,1200000,1200000,1200000,"Bandhan Bank","Bandhan Bank","Bandhan Bank","Bandhan Bank","Bandhan Bank",CGTMSE,,,
"2021-08-14 06:07:32",19,"islam nagar",Budaun,"Mon. pahchhya ,",No,,"[""Services""]","Repairing & Services",,2019,shoo,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:51:00",19,"govind dev ",Aligarh,"Bijnor Uttar Pradesh",No,,"[""Manufacturing""]","Food products",,2021,"foood shop ",Micro,Perennial,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,"Coir Upgradation",,,
"2021-08-14 06:09:02",19,"krishna nagar",Lucknow,"253 Ali ngar surhara ",No,,"[""Services""]","Food products",,2020,food,Micro,Seasonal,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:53:37",19,Mainpuri,Mainpuri,"g t Road Post Devara District Mainpuri UP 205301",No,,"[""Manufacturing""]","Wood products",,2020,"wood product",Micro,Perennial,Unskilled,Contractual,,,,,4,,,,,150000,,,,,500000,,,,,"Bank of Baroda","Digital MSME",,,
"2021-08-14 06:10:44",19,asmoli,Barabanki,"bill taragarh, po haidregarh ",No,,"[""Services""]","Repairing & Services",,2018,shop,Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,15000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:11:58",19,asmoli,"Sambhal (Bhim Nagar)","sambhal, asmoli up",No,,"[""Services""]","Food products",,2020,food,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:13:21",19,saraimeera,Kannauj,"157 Sara I me era, kannuj",No,,"[""Services""]","Repairing & Services",,2019,food,Micro,Seasonal,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:11:11",19,dumariya,"Siddharth Nagar","naimullah market",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,100000,100000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:18:53",19,ramgarh,Aligarh,"RAF road in front of 38 VN PAC quarsi",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:03:31",19,Secunderabad,Aligarh,"Muzaffarnagar Uttar Pradesh 25100",No,,"[""Manufacturing""]","Wood products",,2021,"wood product",Micro,Perennial,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,SFURTI,,,
"2021-08-14 06:20:19",19,maheshwaru,Aligarh,"mahshwari, complex ramghat road aligarh",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMS,,,
"2021-08-14 04:54:57",19,"fattepur ",Lucknow,"Aligarh Indira Nagar Lucknow",No,,"[""Manufacturing""]","Food products",,2017,"food shop",Micro,Seasonal,Unskilled,Contractual,,3,3,3,3,,14000,14000,14000,14000,,150000,150000,150000,150000,,"Bandhan Bank","Bandhan Bank","Bandhan Bank","Bandhan Bank","Coir Upgradation",,,
"2021-08-14 06:22:05",19,"meeranpur katara",Shahjahanpur,"co San jay agrwal",No,,"[""Services""]","Repairing & Services",,2019,shop,Small,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:23:37",19,katera,Jhansi,"vill too dey an khirak katera",No,,"[""Services""]","Food products",,2019,food,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,12000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:00:35",19,banthar,Unnao,"bandu khera banthar unnao 2089",No,,"[""Manufacturing""]","Wood products",,2019,"wood product",Micro,Perennial,Unskilled,Permanent,,,,3,3,,,,2000,2000,,,,25000,25000,,,,"Bandhan Bank","Bandhan Bank","Coir Upgradation",,,
"2021-08-14 06:25:01",19,kamalganj,Farrukhabad,"jwahar na gar farrukhabad",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,15000,12000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:57:38",19,"shahberi ",Ghaziabad,"Gautam Buddh Nagar",No,,"[""Manufacturing""]","Repairing & Services",,2021,"repairing service",Micro,Perennial,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,"Lean Manufacturing",,,
"2021-08-14 04:06:52",19,"tehsil bilari",Rampur,"visharat nagar bilaspur up",No,,"[""Manufacturing""]","Food products",,2019,"food shop",Small,Seasonal,Semi-Skilled,Contractual,,,,2,2,,,,10000,10000,,,,500000,500000,,,,"Bank of Baroda","Bank of Baroda",CGTMSE,,,
"2021-08-14 06:26:37",19,rudrapur,Deoria,"rudrapur road ",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:27:59",19,atrauliya,Azamgarh,"atraula azamgarh",No,,"[""Services""]","Food products",,2019,food,Micro,Seasonal,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:05:19",19,khimawati,Muzaffarnagar,"khimawati ten modinagar ghaziab",No,,"[""Manufacturing""]","Food products",,2021,"food shop",Micro,Seasonal,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,CGTMSE,,,
"2021-08-14 06:29:16",19,purabnara,Allahabad,"madupur ramnagar",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:05:13",19,"tiwariganj ",Hardoi,"Kalyanpur po rajakarnai Nissan 261201",No,,"[""Manufacturing""]","Repairing & Services",,2020,"repairing service",Micro,Perennial,Unskilled,Permanent,,,,,4,,,,,3000,,,,,38000,,,,,"Bank of India","Coir Upgradation",,,
"2021-08-14 09:35:58",19,"Siddharth Nagar","Siddharth Nagar","Di Maria Nagar Siddharth Nagar 27 218",No,,"[""Manufacturing""]","Machinery & Part except electrical",,2016,garments,Micro,Seasonal,Unskilled,Permanent,1,1,1,1,1,10000,10000,10000,10000,10000,990000,990000,990000,990000,990000,"Canara Bank","Canara Bank","Canara Bank","Canara Bank","Canara Bank",ASPIRE,,,
"2021-08-14 06:30:59",19,bhu,Varanasi,"plot no. 98 mahanapuri, karaundi",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,15000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:13:07",19,"barolichhar ",Shahjahanpur,"Saharanpur chaprasi",No,,"[""Manufacturing""]","Food products",,2016,"food product",Micro,Perennial,Unskilled,Permanent,1,1,1,1,1,15000,15000,15000,15000,15000,4800000,4800000,4800000,4800000,4800000,"Bandhan Bank","Bandhan Bank","Bandhan Bank","Bandhan Bank","Bandhan Bank","CLCS & TU",,,
"2021-08-14 03:11:19",19,"juhi parampurwa ",Allahabad,"kanpur uttar p",No,,"[""Manufacturing""]","Repairing & Services",,2021,"repairing service",Micro,Perennial,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,ASPIRE,,,
"2021-08-14 05:03:13",19,"bhola raod",Muzaffarnagar,"bola na get mujafernager utter pradesh",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,01,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:17:07",19,Khurda,Bijnor,"Sherkot Uttar Pradesh",No,,"[""Manufacturing""]","Repairing & Services",,2014,"food shop ",Micro,Perennial,Unskilled,Permanent,2,2,2,2,2,1200000,120000,120000,120000,1200000,1400000,1400000,1400000,1400000,1400000,"Bandhan Bank","Bandhan Bank","Bandhan Bank","Bandhan Bank","Bandhan Bank","Digital MSME",,,
"2021-08-14 03:16:02",19,"shamli ",Allahabad,"ganga aryanagar jalalabad ",No,,"[""Manufacturing""]","Wood products",,2021,"wood product",Micro,Perennial,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,IPR,,,
"2021-08-14 06:41:47",19,badhohi,Bhadohi,badhoi,No,,"[""Services""]","Repairing & Services",,2018,shop,Micro,Perennial,Unskilled,Permanent,,,1,1,1,,,10000,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:21:17",21,gajraula,"Amroha (J.P. Nagar)","NH 24 Delhi road Raj balpur",No,,"[""Services""]",Other,shop,2021,shop,Micro,Casual,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:30:52",21,Saharanpur,Saharanpur,"Rado chitron Saharanpur",No,,"[""Services""]","Repairing & Services",,2021,repairing,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 03:23:23",21,Lucknow,Lucknow,"59/107 gurudev market dal mandi canal",No,,"[""Services""]","Repairing & Services",,2021,repairing,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:49:33",21,shamli,"Shamali (Prabuddh Nagar)","chhipiyan ward no 8, thanabhawan",No,,"[""Services""]","Repairing & Services",,2021,repairing,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:19:38",21,lalitpur,Lalitpur,"purana suchna Kendra civil line lalitpur",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:55:24",21,raebareli,RaeBareli,"15-64 purana mohanpur",No,,"[""Services""]",Other,shop,2020,shop,Small,Seasonal,Unskilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:32:55",21,Saharanpur,Saharanpur,"bachiti Saharanpur",No,,"[""Services""]",Other,shop,2019,shop,Micro,Casual,Unskilled,Contractual,,,,2,2,,,,20000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:57:24",21,gokulpuri,Chitrakoot,"h m o 55 Shankar bajar gokalpuri",No,,"[""Services""]",Other,"mobile repairing shop",2021,"mobile repairing shop",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 03:27:26",21,raebareli,RaeBareli,"H. no.175B partapur chaudhary,",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:09:55",21," Shahjahanpur",Shahjahanpur,"261 Shahjahanpur",No,,"[""Services""]",Other,"cosmetics shop",2021,"cosmetics shop",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:22:32",21,Varanasi,Varanasi,"a 34/10 A-2 teliyana ansh",No,,"[""Services""]","Machinery & Part except electrical",,2021,"machinery parts",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:51:58",21,unnao,Unnao,"kasiram aawas pocket siddikipur",No,,"[""Services""]",Other,"mobile repairing shop",2021,"mobile repairing shop",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:24:14",21," muzaffarnagar",Muzaffarnagar,"Gandhinagar ",No,,"[""Services""]",Other,shop,2019,shop,Micro,Seasonal,Unskilled,Contractual,,,,2,2,,,,10000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:35:07",21,muzaffarnagar,Muzaffarnagar,"degree bhopa muzaffarnagar",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:01:26",21,Rampur,Rampur,"raja colony Ahmed Nagar Rampur",No,,"[""Services""]","Machinery & Part except electrical",,2021,"machinery parts",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:30:51",21,Alligarh,Aligarh,"No Frill account,alligarh",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:26:22",21,baghpat,Baghpat,badarkha,No,,"[""Services""]","Repairing & Services",,2021,repairing,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:13:06",21,unnao,Unnao,"word number one Bangla nawabganj unnao",No,,"[""Services""]","Machinery & Part except electrical",,2020,"machinery parts",Small,Seasonal,Unskilled,Contractual,,,,,2,,,,,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:06:26",21,badlapur,Jaunpur,"pro-Rajesh Kumar shahrukh khan Pur badlapur",No,,"[""Services""]",Other,shop,2021,shop,Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:27:44",21,muzaffarnagar,Muzaffarnagar,"Krishna Puri muzaffarnagar",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:34:47",21,Rampur,Bulandshahr,"Rampur khrza,",No,,"[""Services""]",Other,shop,2019,shop,Small,Seasonal,Unskilled,Contractual,,,,1,1,,,,10000,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:09:11",21,raebareli,RaeBareli,"Sanjay Nagar Gopal Nagar Bareilly",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:14:57",21,Meerut,Meerut,"anaj Mandi hastinapur Meerut",No,,"[""Services""]","Repairing & Services",,2019,repairing,Small,Seasonal,Unskilled,Contractual,,,,2,2,,,,10000,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:55:23",21,jaunpur,Jaunpur,"kasiram aawas pocket no 1 ",No,,"[""Services""]",Other,shop,2020,shop,Small,Seasonal,Unskilled,Contractual,,,,,2,,,,,20000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:12:10",21,Aligarh,Aligarh,"s/o surrajpal kheda kishan",No,,"[""Services""]","Machinery & Part except electrical",,2021," machinery parts",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:17:35",21,Meerut,Meerut,"180 gudri bazar",No,,"[""Services""]",Other,"cosmetics shop",2021,"cosmetics shop",Small,Casual,Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:40:03",21,Atheha,Pratapgarh,"Atheha Aharbihar lalganj pratapgarh",No,,"[""Services""]","Repairing & Services",,2020,repairing,Small,Seasonal,Unskilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:15:36",21,bijnor,Bijnor,"
gram jamalpur udaychand",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:37:07",21,vrindavan,Mathura,"S3 e24 Kailash Nagar vrindavan",No,,"[""Services""]",Other,shop,2021,shop,Micro,Casual,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:01:02",21,firozabad,Firozabad,"53 bodhasharam surya  nagar",No,,"[""Services""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:39:35",21,"Agra ",Agra,"14 teachers colony chainpur House Agra",No,,"[""Services""]","Repairing & Services",,2020,repairing,Small,Seasonal,Unskilled,Contractual,,,,,1,,,,,20000,,,,,,,,,,,PMEGP/MUDRA,,,
